,word,count
0,что,151
1,это,88
2,как,75
3,Петр,62
4,его,60
5,Вайль,59
6,августа,48
7,все,45
8,так,38
9,Все,35
10,или,32
11,для,30
12,только,30
13,Как,29
14,она,28
15,чтобы,26
16,Это,26
17,России,24
18,есть,24
19,всех,24
20,Кристи,23
21,материалы,22
22,Диккенса,21
23,Что,21
24,мне,20
25,Писатель,20
26,детектив,19
27,Эдвина,19
28,Друда,19
29,Культура,19
30,без,19
31,фильм,19
32,роман,18
33,очень,18
34,они,18
35,который,18
36,Диккенс,17
37,самом,17
38,еще,17
39,почему,17
40,может,17
41,после,17
42,Экройда,17
43,сайта,16
44,был,16
45,потому,16
46,всего,16
47,уже,16
48,этого,16
49,будет,15
50,именно,15
51,было,15
52,человек,15
53,Пуаро,15
54,смотрите,15
55,Тайна,14
56,том,14
57,нет,14
58,деле,14
59,чем,14
60,всегда,14
61,новости,14
62,Роджера,14
63,Однако,14
64,Дмитрий,13
65,Всего,13
66,века,13
67,время,13
68,нас,13
69,меня,13
70,Убийство,13
71,если,12
72,Эдвин,12
73,него,12
74,Вот,12
75,дело,12
76,совершенно,12
77,раз,12
78,мира,12
79,жизни,12
80,Сегодня,12
81,кино,12
82,Быков,11
83,книги,11
84,под,11
85,Поиск,11
86,Новости,11
87,лучшим,11
88,этот,11
89,стоит,11
90,тоже,11
91,вот,11
92,когда,11
93,просмотров,11
94,США,11
95,себя,11
96,Сноб,10
97,Литература,10
98,страницы,10
99,этом,10
100,ничего,10
101,этой,10
102,где,10
103,быть,10
104,кто,10
105,того,10
106,Россия,10
107,подробнее,10
108,фестиваль,9
109,была,9
110,стал,9
111,там,9
112,даже,9
113,конечно,9
114,истории,9
115,люди,9
116,тот,9
117,людей,9
118,мире,9
119,Кто,9
120,детективом,9
121,времен,9
122,фильме,9
123,Смотрите,9
124,интервью,9
125,Площадка,8
126,Тип,8
127,баннера,8
128,Расположение,8
129,дальше,8
130,надо,8
131,себе,8
132,особенно,8
133,были,8
134,литературы,8
135,перед,8
136,сказать,8
137,почти,8
138,своей,8
139,фильма,8
140,Они,8
141,русской,8
142,официант,8
143,Москве,8
144,Лента,8
145,свой,8
146,Детектив,8
147,лет,8
148,между,8
149,Феллини,8
150,мои,8
151,Спасибо,7
152,События,7
153,проекта,7
154,при,7
155,жить,7
156,Спорт,7
157,никогда,7
158,никто,7
159,самой,7
160,день,7
161,образом,7
162,года,7
163,вдруг,7
164,тогда,7
165,один,7
166,которые,7
167,конце,7
168,самого,7
169,такие,7
170,таких,7
171,здесь,7
172,взять,7
173,тебе,7
174,мой,7
175,имя,7
176,говорят,7
177,Если,7
178,версия,7
179,собой,7
180,лучший,7
181,назвали,7
182,Агаты,7
183,писатель,7
184,году,7
185,свое,7
186,вопрос,7
187,История,7
188,января,7
189,вас,7
190,сайту,7
191,Вам,7
192,необходимо,7
193,читатели,7
194,Чарльза,6
195,Читать,6
196,события,6
197,Интернет,6
198,романа,6
199,корабль,6
200,Друд,6
201,Джаспер,6
202,значит,6
203,одной,6
204,лучше,6
205,начала,6
206,знать,6
207,над,6
208,такой,6
209,дела,6
210,них,6
211,ему,6
212,жанра,6
213,два,6
214,три,6
215,отвечает,6
216,Так,6
217,такое,6
218,гораздо,6
219,могу,6
220,писателей,6
221,Экройд,6
222,мир,6
223,слова,6
224,Кадр,6
225,Агата,6
226,Михаил,6
227,преступления,6
228,марта,6
229,Гамлет,6
230,Марина,6
231,Анатольевна,6
232,знаю,6
233,новые,5
234,верх,5
235,Фестиваль,5
236,музыки,5
237,будущее,5
238,Наука,5
239,Бизнес,5
240,Здоровье,5
241,Общество,5
242,Спецпроекты,5
243,Владимир,5
244,две,5
245,нравится,5
246,сих,5
247,пор,5
248,тут,5
249,Теперь,5
250,тем,5
251,которая,5
252,самых,5
253,эти,5
254,вышел,5
255,каждый,5
256,своем,5
257,Потому,5
258,которого,5
259,второй,5
260,таки,5
261,читать,5
262,более,5
263,писать,5
264,буду,5
265,эту,5
266,всем,5
267,интересно,5
268,времени,5
269,какой,5
270,понять,5
271,вместе,5
272,лишь,5
273,Россию,5
274,беспорядках,5
275,МВД,5
276,Путина,5
277,Книги,5
278,книга,5
279,СМИ,5
280,Россияне,5
281,журналиста,5
282,подробности,5
283,ней,5
284,доктор,5
285,Шепард,5
286,доктора,5
287,Неудача,5
288,совсем,5
289,русские,5
290,Сейчас,5
291,дома,5
292,стране,5
293,либо,5
294,Слово,5
295,Фильм,5
296,Евгений,5
297,Габрилович,5
298,Последний,5
299,автограф,5
300,Глава,5
301,тому,5
302,сентября,5
303,Федерико,5
304,интернет,5
305,голосов,5
306,включить,5
307,проголосовать,5
308,пишу,5
309,литература,4
310,произведения,4
311,Эссе,4
312,загадочном,4
313,произведении,4
314,пароль,4
315,клубные,4
316,Свернуть,4
317,работы,4
318,Деньги,4
319,Путешествия,4
320,дневник,4
321,Тема,4
322,Андрей,4
323,последний,4
324,автор,4
325,тайну,4
326,хотя,4
327,читателя,4
328,Мне,4
329,думаю,4
330,стать,4
331,какие,4
332,судьбу,4
333,сама,4
334,вообще,4
335,наиболее,4
336,концов,4
337,страшней,4
338,жанров,4
339,начало,4
340,сколько,4
341,разгадки,4
342,работу,4
343,придется,4
344,Даже,4
345,тайны,4
346,например,4
347,сам,4
348,детектива,4
349,такого,4
350,главный,4
351,словно,4
352,жизнью,4
353,другой,4
354,вещей,4
355,вечно,4
356,Достоевский,4
357,этим,4
358,мог,4
359,нужно,4
360,литературе,4
361,становится,4
362,Золя,4
363,пожалуй,4
364,больше,4
365,всей,4
366,шесть,4
367,бог,4
368,Почему,4
369,кого,4
370,пока,4
371,говорит,4
372,потом,4
373,снова,4
374,дня,4
375,раньше,4
376,Есть,4
377,вполне,4
378,мировой,4
379,узнали,4
380,друг,4
381,ведь,4
382,Этот,4
383,прежде,4
384,слов,4
385,читатель,4
386,недвижимый,4
387,через,4
388,строго,4
389,иногда,4
390,произведений,4
391,попал,4
392,знала,4
393,Дальше,4
394,неделе,4
395,любой,4
396,случаях,4
397,ждет,4
398,массовых,4
399,акции,4
400,квартиру,4
401,Контакты,4
402,Медиа,4
403,детективный,4
