word,count
Петр,61
Вайль,59
Писатель,19
что,16
это,16
смотрите,15
фильм,14
как,10
фильме,9
Смотрите,9
Это,8
кино,8
Феллини,8
его,7
русской,7
всегда,7
января,7
Михаил,6
августа,6
есть,6
только,6
все,6
Вот,6
марта,6
Гамлет,6
Слово,5
дело,5
Фильм,5
Евгений,5
Габрилович,5
Последний,5
автограф,5
Глава,5
истории,5
века,5
сентября,5
Федерико,5
Культура,4
История,4
понедельник,4
чем,4
преступления,4
мире,4
или,4
там,4
передачу,4
России,4
Кто,4
корабль,4
всех,4
Россия,4
жизни,4
Граппелли,4
Чарли,4
так,4
мир,4
вторник,3
четверг,3
Самые,3
громкие,3
процессы,3
чтобы,3
этом,3
стоит,3
сюжет,3
такое,3
русского,3
размышляет,3
Что,3
Кафка,3
может,3
быть,3
один,3
Шиллер,3
Фридрих,3
Кровь,3
равнине,3
Глинка,3
Шут,3
Опера,3
Роберто,3
Жорж,3
Санд,3
культуры,3
мира,3
было,3
становится,3
Моисеев,3
Игорь,3
лет,3
плывет,3
Культурная,3
революция,3
Литература,2
Интернет,2
главная,2
Левая,2
колонка,2
Аввакум,2
Острова,2
среда,2
Николай,2
пятница,2
суббота,2
Недлинные,2
версия,2
Середина,2
внутренний,2
блок,2
Передачи,2
после,2
тому,2
конечно,2
читать,2
себе,2
того,2
был,2
всем,2
этого,2
совсем,2
таком,2
деле,2
нас,2
всего,2
чувство,2
образом,2
том,2
уже,2
лежу,2
потому,2
для,2
форумы,2
теме,2
телезаметки,2
Плоды,2
просвещения,2
Чичикове,2
Бендере,2
художник,2
Лермонтов,2
Герой,2
нашего,2
времени,2
литературы,2
Александром,2
таких,2
ярких,2
Тургенев,2
Иван,2
Сергеевич,2
Уроки,2
Отцы,2
дети,2
Мало,2
всей,2
мировой,2
книг,2
пожалуй,2
делать,2
Бабель,2
между,2
ярким,2
Прага,2
она,2
самых,2
передаче,2
Ода,2
Радости,2
программа,2
Библейский,2
программе,2
вне,2
Табакова,2
Деникина,2
цикле,2
огромного,2
современном,2
музыки,2
Смерть,2
зовется,2
Энгельхен,2
Титаник,2
документального,2
фильма,2
дозволенный,2
протест,2
рамках,2
Пиковая,2
дама,2
искусство,2
свободы,2
Пятое,2
измерение,2
Италия,2
Тем,2
временем,2
география,2
важнее,2
Дом,2
Островского,2
Росселлини,2
говоря,2
содержание,2
чего,2
Андрей,2
документальный,2
раз,2
симфонических,2
оркестров,2
Израильского,2
филармонического,2
оркестра,2
будет,2
этот,2
Светлый,2
путь,2
над,2
Классика,2
гораздо,2
чаще,2
Китеж,2
селе,2
трио,2
Стефана,2
Только,2
вот,2
нет,2
бытовой,2
жестокости,2
Чаплина,2
Социально,2
Боксеры,2
Козинцева,2
посвященную,2
новый,2
программы,2
тот,2
чье,2
имя,2
Берлинский,2
Валентин,2
ведь,2
море,2
Идиот,2
скорее,2
года,2
провокация,2
вещания,2
передач,2
Уши,2
вертикальные,2
дня,2
рождения,2
Конкурс,2
юных,2
музыкантов,2
сайта,2
интернет,2
Общероссийский,2
государственный,2
телеканал,2
При,2
текстовых,2
обязательна,2
